name,city,website,Instagram,contact_email_or_contact_form,best_outreach_channel,why_they_are_a_good_fit
West Chester University Newman Center,"West Chester, PA",https://connection.newmanministry.com/colleges/west-chester-university/,Instagram linked on ministry page,Contact Us on Newman Connection page,Contact form,"Dedicated Catholic campus ministry with chapel, study space, and clear student focus"
Widener Newman,"Chester, PA",https://connection.newmanministry.com/colleges/widener-university/,Instagram linked on ministry page,Contact Us on Newman Connection page,Contact form,Catholic ministry serving Widener students with Bible study and parish connection
Arcadia Newman Club,"Glenside, PA",https://connection.newmanministry.com/colleges/arcadia-university/,Instagram linked on ministry page,Contact Us on Newman Connection page,Contact form,Catholic student connection through nearby parish and campus-facing outreach
Community College of Philadelphia Campus Ministry,"Philadelphia, PA",https://connection.newmanministry.com/colleges/community-college-of-philadelphia/,Instagram linked on ministry page,Contact Us on Newman Connection page,Contact form,Good commuter-student audience and clear Catholic campus ministry tie
Manor College Campus Ministry,"Jenkintown, PA",https://connection.newmanministry.com/colleges/manor-college/,Instagram linked on ministry page,Contact Us on Newman Connection page,Contact form,Catholic college audience with direct sacramental and ministry connection
Peirce College Campus Ministry via St. John the Evangelist,"Philadelphia, PA",https://connection.newmanministry.com/colleges/peirce-college/,Instagram linked via St. John's young adult channels,Contact Us on Newman Connection page,Email or contact form,Center City student and commuter audience tied to a visible Catholic parish hub
Neumann University Campus Ministry,"Aston, PA",https://connection.newmanministry.com/colleges/neumann-university/,Instagram linked on ministry page,lopesg@neumann.edu,Email,"Franciscan Catholic university ministry with retreats, reflection, and service"
Ursinus Newman Society,"Collegeville, PA",https://connection.newmanministry.com/colleges/ursinus-college/,Instagram linked on ministry page,Contact Us on Newman Connection page,Contact form,Small but engaged Catholic student group meeting for Bible study and parish life
DelVal Catholic Newman Club,"Doylestown, PA",https://connection.newmanministry.com/colleges/delaware-valley-university/,Instagram linked on ministry page,frjeffrott@stjudechalfont.org,Email,Faith-friendly Bucks County campus with direct parish support and a devotional audience
Immaculata University Campus Ministry,"Immaculata, PA",https://connection.newmanministry.com/colleges/immaculata-university/,Instagram linked on ministry page,Ldowning1@immaculata.edu,Email,"Catholic campus ministry centered on prayer, fellowship, and service"
Rosemont College Catholic Campus Ministry,"Rosemont, PA",https://connection.newmanministry.com/colleges/rosemont-college/,Instagram linked via Villanova ministry,Contact page on ministry site,Contact form,Main Line college audience connected to Villanova-area Catholic ministry
Catholic Newman Club at Rutgers University–Camden,"Camden, NJ",https://connection.newmanministry.com/colleges/rutgers-university-camden/,Instagram linked on ministry page,Contact Us on Newman Connection page,Contact form,"Catholic student organization focused on study, service, spirituality, and community"
Rowan Catholic Campus Ministry Newman House,"Glassboro, NJ",https://connection.newmanministry.com/colleges/rowan-university-glassboro/,Instagram linked on ministry page,Contact Us on Newman Connection page,Contact form,Active Catholic student ministry with strong campus identity in South Jersey
St. Bridget University Parish / Rowan College South Jersey,"Sewell, NJ",https://connection.newmanministry.com/colleges/rowan-college-of-south-jersey-sewell/,Instagram linked on ministry page,Contact Us on Newman Connection page,Contact form,Extends Rowan Catholic reach to community college students and younger commuter audiences
Catholic Campus Ministry at the University of Delaware,"Newark, DE",https://connection.newmanministry.com/colleges/university-of-delaware/,Instagram linked on ministry page,Contact Us on Newman Connection page,Contact form,Large student audience with a real Newman Center and strong sacramental life
